tournament,home,home_goal,away_goal,away,home_corner,away_corner,home_attack,away_attack,home_shots,away_shots,time,date,ht_diff,at_diff,ht_result,at_result,total_corners
Copa do Brasil,Nova Iguacu,2.0,0.0,Vitoria,3.0,2.0,139.0,96.0,24.0,6.0,18:30:00,2023-03-01,2.0,-2.0,WON,LOST,5.0
Copa do Brasil,Tuna Luso,0.0,1.0,CSA,3.0,5.0,79.0,67.0,22.0,5.0,18:30:00,2023-03-01,-1.0,1.0,LOST,WON,8.0
Copa do Brasil,Fluminense PI,0.0,4.0,Ponte Preta,2.0,9.0,152.0,139.0,4.0,16.0,00:30:00,2023-03-01,-4.0,4.0,LOST,WON,11.0
Copa do Brasil,Real Noroeste,1.0,1.0,Vila Nova,3.0,9.0,86.0,72.0,8.0,19.0,23:00:00,2023-02-28,0.0,0.0,DRAW,DRAW,12.0
Copa do Brasil,Democrata GV,1.0,1.0,Santa Cruz FC,3.0,3.0,78.0,87.0,11.0,9.0,22:30:00,2023-02-28,0.0,0.0,DRAW,DRAW,6.0
Copa do Brasil,Tocantinopolis,1.0,1.0,America MG,5.0,10.0,113.0,115.0,16.0,22.0,22:30:00,2023-02-28,0.0,0.0,DRAW,DRAW,15.0
Copa do Brasil,Resende,1.0,2.0,Ferroviario,9.0,6.0,105.0,79.0,11.0,9.0,18:30:00,2023-02-28,-1.0,1.0,LOST,WON,15.0
Copa do Brasil,Vitoria ES,0.0,1.0,Remo,6.0,4.0,132.0,96.0,5.0,6.0,00:30:00,2023-02-24,-1.0,1.0,LOST,WON,10.0
Copa do Brasil,Trem AP,0.0,4.0,Vasco Da Gama RJ,0.0,12.0,76.0,122.0,2.0,31.0,00:30:00,2023-02-24,-4.0,4.0,LOST,WON,12.0
Copa do Brasil,Ceilandia,0.0,1.0,Santos,6.0,2.0,93.0,128.0,2.0,11.0,23:00:00,2023-02-23,-1.0,1.0,LOST,WON,8.0
Copa do Brasil,Sao Luiz,1.0,0.0,Juventude,5.0,7.0,65.0,80.0,8.0,12.0,22:00:00,2023-02-23,1.0,-1.0,WON,LOST,12.0
Copa do Brasil,Humaita,0.0,3.0,Coritiba,5.0,4.0,115.0,110.0,5.0,16.0,22:00:00,2023-02-23,-3.0,3.0,LOST,WON,9.0
Copa do Brasil,Sao Francisco AC,1.0,1.0,Ypiranga RS,5.0,4.0,87.0,105.0,10.0,9.0,00:00:00,2023-02-23,0.0,0.0,DRAW,DRAW,9.0
Copa do Brasil,Marilia,0.0,3.0,Brusque,3.0,3.0,120.0,132.0,17.0,14.0,23:00:00,2023-02-22,-3.0,3.0,LOST,WON,6.0
Copa do Brasil,Caucaia,0.0,0.0,Tombense,7.0,4.0,146.0,103.0,11.0,7.0,22:00:00,2023-02-22,0.0,0.0,DRAW,DRAW,11.0
Copa do Brasil,Sao Raimundo RR,4.0,3.0,Cuiaba,4.0,6.0,93.0,138.0,9.0,29.0,22:00:00,2023-02-22,1.0,-1.0,WON,LOST,10.0
Copa do Brasil,Nova Mutum,4.0,2.0,Londrina,4.0,5.0,,,4.0,2.0,20:00:00,2023-02-22,2.0,-2.0,WON,LOST,9.0
Copa do Brasil,Falcon,1.0,3.0,Volta Redonda,9.0,3.0,100.0,126.0,14.0,9.0,19:00:00,2023-02-22,-2.0,2.0,LOST,WON,12.0
